id,Name,Code
1,Albania,ALB
2,Andorra,AND
3,Austria,AUT
4,Belgium,BEL
5,Bulgaria,BGR
6,Bosnia and Herzegovina,BIH
7,Cyprus,CYP
8,Czech Republic,CZE
9,Germany,DEU
10,Denmark,DNK
11,Estonia,EST
12,Finland,FIN
13,France,FRA
14,Faroe Islands,FRO
15,Georgia,GEO
16,Gibraltar,GIB
17,Greece,GRC
18,Greenland,GRL
19,Croatia,HRV
20,Hungary,HUN
21,Isle of Man,IMN
22,Ireland,IRL
23,Iceland,ISL
24,Italy,ITA
25,Kosovo,XKX
